[DEBUG] 2019-12-28 01:44:17,389 logging.logProvider() - Logging Provider: org.jboss.logging.Log4j2LoggerProvider
[INFO ] 2019-12-28 01:44:17,393 Version.<clinit>() - HV000001: Hibernate Validator 6.1.0.Final
[INFO ] 2019-12-28 01:44:17,393 Version.<clinit>() - HV000001: Hibernate Validator 6.1.0.Final
[INFO ] 2019-12-28 01:44:17,678 Version.logVersion() - HHH000412: Hibernate Core {5.4.4.Final}
[INFO ] 2019-12-28 01:44:17,678 Version.logVersion() - HHH000412: Hibernate Core {5.4.4.Final}
[INFO ] 2019-12-28 01:44:18,050 Version.<clinit>() - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[INFO ] 2019-12-28 01:44:18,050 Version.<clinit>() - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[WARN ] 2019-12-28 01:44:18,194 pooling.configure() - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
[WARN ] 2019-12-28 01:44:18,194 pooling.configure() - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
[INFO ] 2019-12-28 01:44:18,201 pooling.buildCreator() - HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/albion_bot]
[INFO ] 2019-12-28 01:44:18,201 pooling.buildCreator() - HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/albion_bot]
[INFO ] 2019-12-28 01:44:18,202 pooling.buildCreator() - HHH10001001: Connection properties: {password=****, user=root}
[INFO ] 2019-12-28 01:44:18,202 pooling.buildCreator() - HHH10001001: Connection properties: {password=****, user=root}
[INFO ] 2019-12-28 01:44:18,202 pooling.buildCreator() - HHH10001003: Autocommit mode: false
[INFO ] 2019-12-28 01:44:18,202 pooling.buildCreator() - HHH10001003: Autocommit mode: false
[INFO ] 2019-12-28 01:44:18,206 DriverManagerConnectionProviderImpl.<init>() - HHH000115: Hibernate connection pool size: 20 (min=1)
[INFO ] 2019-12-28 01:44:18,206 DriverManagerConnectionProviderImpl.<init>() - HHH000115: Hibernate connection pool size: 20 (min=1)
[INFO ] 2019-12-28 01:44:18,450 Dialect.<init>() - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
[INFO ] 2019-12-28 01:44:18,450 Dialect.<init>() - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
[WARN ] 2019-12-28 01:44:18,641 JsonLanguageRepository.findNotTranslatedPhrases() - Translation for key: yes is missing in language PL
[WARN ] 2019-12-28 01:44:18,642 JsonLanguageRepository.findNotTranslatedPhrases() - Translation for key: no is missing in language PL
[WARN ] 2019-12-28 01:44:18,642 JsonLanguageRepository.findNotTranslatedPhrases() - Translation for key: membershipGuilds is missing in language PL
[WARN ] 2019-12-28 01:44:18,643 JsonLanguageRepository.findNotTranslatedPhrases() - Translation for key: membershipAlliances is missing in language PL
[WARN ] 2019-12-28 01:44:18,651 JavaTypeDescriptorRegistry.checkEqualsAndHashCode() - HHH000481: Encountered Java type [class com.zbutwialypiernik.bloodbot.entity.translation.Language] for which we could not locate a JavaTypeDescriptor and which does not appear to implement equals and/or hashCode.  This can lead to significant performance problems when performing equality/dirty checking involving this Java type.  Consider registering a custom JavaTypeDescriptor or at least implementing equals/hashCode.
[WARN ] 2019-12-28 01:44:18,651 JavaTypeDescriptorRegistry.checkEqualsAndHashCode() - HHH000481: Encountered Java type [class com.zbutwialypiernik.bloodbot.entity.translation.Language] for which we could not locate a JavaTypeDescriptor and which does not appear to implement equals and/or hashCode.  This can lead to significant performance problems when performing equality/dirty checking involving this Java type.  Consider registering a custom JavaTypeDescriptor or at least implementing equals/hashCode.
[WARN ] 2019-12-28 01:44:18,657 JavaTypeDescriptorRegistry.checkEqualsAndHashCode() - HHH000481: Encountered Java type [class club.minnced.discord.webhook.WebhookClient] for which we could not locate a JavaTypeDescriptor and which does not appear to implement equals and/or hashCode.  This can lead to significant performance problems when performing equality/dirty checking involving this Java type.  Consider registering a custom JavaTypeDescriptor or at least implementing equals/hashCode.
[WARN ] 2019-12-28 01:44:18,657 JavaTypeDescriptorRegistry.checkEqualsAndHashCode() - HHH000481: Encountered Java type [class club.minnced.discord.webhook.WebhookClient] for which we could not locate a JavaTypeDescriptor and which does not appear to implement equals and/or hashCode.  This can lead to significant performance problems when performing equality/dirty checking involving this Java type.  Consider registering a custom JavaTypeDescriptor or at least implementing equals/hashCode.
[WARN ] 2019-12-28 01:44:18,658 JavaTypeDescriptorRegistry.checkEqualsAndHashCode() - HHH000481: Encountered Java type [class com.zbutwialypiernik.bloodbot.entity.translation.Language] for which we could not locate a JavaTypeDescriptor and which does not appear to implement equals and/or hashCode.  This can lead to significant performance problems when performing equality/dirty checking involving this Java type.  Consider registering a custom JavaTypeDescriptor or at least implementing equals/hashCode.
[WARN ] 2019-12-28 01:44:18,658 JavaTypeDescriptorRegistry.checkEqualsAndHashCode() - HHH000481: Encountered Java type [class com.zbutwialypiernik.bloodbot.entity.translation.Language] for which we could not locate a JavaTypeDescriptor and which does not appear to implement equals and/or hashCode.  This can lead to significant performance problems when performing equality/dirty checking involving this Java type.  Consider registering a custom JavaTypeDescriptor or at least implementing equals/hashCode.
[WARN ] 2019-12-28 01:44:18,658 JavaTypeDescriptorRegistry.checkEqualsAndHashCode() - HHH000481: Encountered Java type [class club.minnced.discord.webhook.WebhookClient] for which we could not locate a JavaTypeDescriptor and which does not appear to implement equals and/or hashCode.  This can lead to significant performance problems when performing equality/dirty checking involving this Java type.  Consider registering a custom JavaTypeDescriptor or at least implementing equals/hashCode.
[WARN ] 2019-12-28 01:44:18,658 JavaTypeDescriptorRegistry.checkEqualsAndHashCode() - HHH000481: Encountered Java type [class club.minnced.discord.webhook.WebhookClient] for which we could not locate a JavaTypeDescriptor and which does not appear to implement equals and/or hashCode.  This can lead to significant performance problems when performing equality/dirty checking involving this Java type.  Consider registering a custom JavaTypeDescriptor or at least implementing equals/hashCode.
[INFO ] 2019-12-28 01:44:19,100 JtaPlatformInitiator.initiateService() - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[INFO ] 2019-12-28 01:44:19,100 JtaPlatformInitiator.initiateService() - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[DEBUG] 2019-12-28 01:44:19,237 KillboardService.lambda$onTick$0() - Refreshing Killboard
